Section Title,Nested Content
3. Definitions.,"'authorisation' means permission for generation, handling, collection, reception, storage, transportation, refurbishing, dismantling, recycling, treatment and disposal of e-waste, granted to manufacturer, dismantler, refurbisher and recycler;"
3. Definitions.,"'bulk consumer' means bulk users of electrical and electronic equipment such as Central Government or State Government Departments, public sector undertakings, banks, educational institutions, multinational organisations, international agencies, partnership and public or private companies that are registered under the Factories Act, 1948 (63 of 1948) and the Companies Act, 2013 (18 of 2013) and health care facilities which have turnover of more than one crore or have more than twenty employees;"
3. Definitions.,"'Central Pollution Control Board' means the Central Pollution Control Board constituted under sub-section (1) of section 3 of the Water (Prevention and Control of Pollution) Act, 1974 (6 of 1974);"
3. Definitions.,"'collection centre' means a centre or a collection point or both established by producer individually or as association jointly to collect e-waste for channelising the e-waste to recycler and play such role as indicated in the authorisation for Extended Producer Responsibility granted to the producer and having facilities as per the guidelines of Central Pollution Control Board, including the collection centre established by the dismantler or refurbisher or recycler which should be a part of their authorisation issued by the State Pollution Control Board where the facility exists;"
3. Definitions.,'component' means one of the parts of a sub-assembly or assembly of which a manufactured product is made up and into which it may be resolved and includes an accessory or attachment to another component;
3. Definitions.,"'consumables' means an item, which participates in or is required for a manufacturing process or for functioning of the electrical and electronic equipment and may or may not form part of end-product. Items, which are substantially or totally consumed during a manufacturing process, shall be deemed to be consumables;"
3. Definitions.,'consumer' means any person using electrical and electronic equipment excluding the bulk consumers;
3. Definitions.,"'channelisation' means to direct the path for movement of e-wastes from collection onwards to authorised dismantler or recycler. In case of fluorescent and other mercury containing lamps, where recyclers are not available, this means path for movement from collection centre to Treatment, Storage and Disposal Facility;"
3. Definitions.,'dealer' means any individual or firm that buys or receives electrical and electronic equipment as listed in Schedule I of these rules and their components or consumables or parts or spares from producers for sale;
3. Definitions.,'deposit refund scheme' means a scheme whereby the producer charges an additional amount as a deposit at the time of sale of the electrical and electronic equipment and returns it to the consumer along with interest when the end-of-life electrical and electronic equipment is returned;
3. Definitions.,'dismantler' means any person or organisation engaged in dismantling of used electrical and electronic equipment into their components and having facilities as per the guidelines of Central Pollution Control Board and having authorisation from concerned State Pollution Control Board;
3. Definitions.,"'disposal' means any operation which does not lead to recycling, recovery or reuse and includes physicochemical or biological treatment, incineration and deposition in secured landfill;"
3. Definitions.,'end-of-life' of the product means the time when the product is intended to be discarded by the user;
3. Definitions.,"'environmentally sound management of e-waste' means taking all steps required to ensure that e-waste is managed in a manner which shall protect health and environment against any adverse effects, which may result from such e-waste;"
3. Definitions.,'electrical and electronic equipment' means equipment which are dependent on electric current or electromagnetic field in order to become functional;
3. Definitions.,"'e-retailer' means an individual or company or business entity that uses an electronic network such as internet, telephone, to sell its goods;"
3. Definitions.,"'e-waste' means electrical and electronic equipment, whole or in part discarded as waste by the consumer or bulk consumer as well as rejects from manufacturing, refurbishment and repair processes;"
3. Definitions.,'e-waste exchange' means an independent market instrument offering assistance or independent electronic systems offering services for sale and purchase of e-waste generated from end-of-life electrical and electronic equipment between agencies or organisations authorised under these rules;
3. Definitions.,"'Extended Producer Responsibility' means responsibility of any producer of electrical or electronic equipment, for channelisation of e-waste to ensure environmentally sound management of such waste. Extended Producer Responsibility may comprise of implementing take back system or setting up of collection centres or both and having agreed arrangements with authorised dismantler or recycler either individually or collectively through a Producer Responsibility Organisation recognised by producer or producers in their Extended Producer Responsibility - Authorisation;"
3. Definitions.,"'Extended Producer Responsibility - Authorisation' means a permission given by Central Pollution Control Board to a producer, for managing Extended Producer Responsibility with implementation plans and targets outlined in such authorisation including detail of Producer Responsibility Organisation and e-waste exchange, if applicable;"
3. Definitions.,"'Extended Producer Responsibility Plan' means a plan submitted by a producer to Central Pollution Control Board, at the time of applying for Extended Producer Responsibility - Authorisation in which a producer shall provide details of e-waste channelisation system for targeted collection including detail of Producer Responsibility Organisation and e-waste exchange, if applicable;"
3. Definitions.,"'facility' means any location wherein the process incidental to the collection, reception, storage, segregation, refurbishing, dismantling, recycling, treatment and disposal of e-waste are carried out;"
3. Definitions.,'Form' means a form appended to these rules;
3. Definitions.,"'historical e-waste' means e-waste generated from electrical and electronic equipment as specified in Schedule I, which was available on the date from which these rules come into force;"
3. Definitions.,"'manufacturer' means a person or an entity or a company as defined in the Companies Act, 2013 (18 of 2013) or a factory as defined in the Factories Act, 1948 (63 of 1948) or Small and Medium Enterprises as defined in Micro, Small and Medium Enterprises Development Act, 2006 (27 of 2006), which has facilities for manufacture of electrical and electronic equipment;"
3. Definitions.,"'orphaned products' means non-branded or assembled electrical and electronic equipment as specified in Schedule I or those produced by a company, which has closed its operations;"
3. Definitions.,"'part' means an element of a sub-assembly or assembly not normally useful by itself, and not amenable to further disassembly for maintenance purposes. A part may be a component, spare or an accessory;"
3. Definitions.,"'producer' means any person who, irrespective of the selling technique used such as dealer, retailer, e-retailer, etc.;"
3. Definitions.,"offers to sell under its own brand, assembled electrical and electronic equipment and their components or consumables or parts or spares produced by other manufacturers or suppliers; or"
3. Definitions.,offers to sell imported electrical and electronic equipment and their components or consumables or parts or spares;
3. Definitions.,"'Producer Responsibility Organisation' means a professional organisation authorised or financed collectively or individually by producers, which can take the responsibility for collection and channelisation of e-waste generated from the 'end-of-life' of their products to ensure environmentally sound management of such e-waste;"
3. Definitions.,'recycler' - means any person who is engaged in recycling and reprocessing of waste electrical and electronic equipment or assemblies or their components and having facilities as elaborated in the guidelines of Central Pollution Control Board;
3. Definitions.,'refurbishment' means repairing of used electrical and electronic equipment as listed in Schedule I for extending its working life for its originally intended use and selling the same in the market or returning to owner;
3. Definitions.,"'refurbisher' for the purpose of these rules, means any company or undertaking registered under the Factories Act, 1948 or the Companies Act, 1956 or both or district industries centre engaged in refurbishment of used electrical and electronic equipment;"
3. Definitions.,'Schedule' means the Schedule appended to these rules;
3. Definitions.,"'State Government' in relation to an Union territory means, the Administrator thereof appointed under article 239 of the Constitution;"
3. Definitions.,"'State Pollution Control Board' means the concerned State Pollution Control Board or the Pollution Control Committee of the Union Territories constituted under sub-section (1) of section 4 of the Water (Prevention and Control of Pollution) Act, 1974 (6 of 1974);"
3. Definitions.,'target' means the quantity of e-waste to be collected by the producer in fulfilment of Extended Producer Responsibility;
3. Definitions.,"'transporter' means a person or company or entity engaged in the off-site transportation of e-waste by air, rail, road or water carrying a manifest system issued by the person or company or entity who has handed over the e-waste to the transporter, giving the origin, destination and quantity of the e-waste being transported; (2) Words and expressions used in these rules and not defined but defined in the Act shall have the meanings respectively assigned to them in the Act."
4. Responsibilities of the manufacturer.,"collect e-waste generated during the manufacture of any electrical and electronic equipment and channelise it for recycling or disposal;, apply for an authorisation in Form 1 (a) in accordance with the procedure prescribed under sub-rule (2) of rule 13 from the concerned State Pollution Control Board, which shall give the authorisation in accordance with Form 1 (bb);, ensure that no damage is caused to the environment during storage and transportation of e-waste;, maintain records of the e-waste generated, handled and disposed in Form-2 and make such records available for scrutiny by the concerned State Pollution Control Board;, file annual returns in Form-3, to the concerned State Pollution Control Board on or before the 30th day of June following the financial year to which that return relates."
4. Responsibilities of the manufacturer.,collect e-waste generated during the manufacture of any electrical and electronic equipment and channelise it for recycling or disposal;
4. Responsibilities of the manufacturer.,"apply for an authorisation in Form 1 (a) in accordance with the procedure prescribed under sub-rule (2) of rule 13 from the concerned State Pollution Control Board, which shall give the authorisation in accordance with Form 1 (bb);"
4. Responsibilities of the manufacturer.,ensure that no damage is caused to the environment during storage and transportation of e-waste;
4. Responsibilities of the manufacturer.,"maintain records of the e-waste generated, handled and disposed in Form-2 and make such records available for scrutiny by the concerned State Pollution Control Board;"
4. Responsibilities of the manufacturer.,"file annual returns in Form-3, to the concerned State Pollution Control Board on or before the 30th day of June following the financial year to which that return relates."
5. Responsibilities of the producer.,"- The producer of electrical and electronic equipment listed in Schedule I shall be responsible for -, implementing the Extended Producers Responsibility with the following frameworks, namely:-, collection and channelisation of e-waste generated from the 'end-of-life' of their products or 'end-of-life' products with same electrical and electronic equipment code and historical waste available on the date from which these rules come into force as per Schedule I in line with the targets prescribed in Schedule III in Extended Producer Responsibility - Authorisation;, the mechanism used for channelisation of e-waste from 'end-of-life' products including those from their service centres to authorised dismantler or recycler shall be in accordance with the Extended Producer Responsibility - Authorisation. In cases of fluorescent and other mercury containing lamps, where recyclers are not available, channelisation may be from collection centre to Treatment, Storage and Disposal Facility;, for disposal in Treatment, Storage and Disposal Facility, a pre-treatment is necessary to immobilise the mercury and reduce the volume of waste to be disposed off;, Extended Producer Responsibility - Authorisation should comprise of general scheme for collection of waste Electrical and Electronic Equipment from the Electrical and Electronic Equipment placed on the market earlier, such as through dealer, collection centres, Producer Responsibility Organisation, through buy-back arrangement, exchange scheme, Deposit Refund System, etc. whether directly or through any authorised agency and channelising the items so collected to authorised recyclers;, providing contact details such as address, e-mail address, toll-free telephone numbers or helpline numbers to consumer(s) or bulk consumer(s) through their website and product user documentation so as to facilitate return of end-of-life electrical and electronic equipment;, creating awareness through media, publications, advertisements, posters, or by any other means of communication and product user documentation accompanying the equipment, with regard to -, information on address, e-mail address, toll-free telephone numbers or helpline numbers and web site;, information on hazardous constituents as specified in sub-rule 1 of rule 16 in electrical and electronic equipment;, information on hazards of improper handling, disposal, accidental breakage, damage or improper recycling of e-waste;, instructions for handling and disposal of the equipment after its use, along with the Do's and Don'ts;, affixing a visible, legible and indelible symbol given below on the products or product user documentation to prevent e-waste from being dropped in garbage bins containing waste destined for disposal;, means and mechanism available for their consumers to return e-waste for recycling including the details of Deposit Refund Scheme, if applicable;, the producer shall opt to implement Extended Producer Responsibility individually or collectively. In individual producer responsibility, producer may set up his own collection centre or implement take back system or both to meet Extended Producer Responsibility. In collective system, producers may tie-up as a member with a Producer Responsibility Organisation or with e-waste exchange or both. It shall be mandatory upon on the individual producer in every case to seek Extended Producer Responsibility - Authorisation from Central Pollution Control Board in accordance with the Form-1 and the procedure laid down in sub-rule (1) of rule 13;, to provide information on the implementation of Deposit Refund Scheme to ensure collection of end-of-life products and their channelisation to authorised dismantlers or recyclers, if such scheme is included in the Extended Producer Responsibility Plan., Provided that the producer shall refund the deposit amount that has been taken from the consumer or bulk consumer at the time of sale, along with interest at the prevalent rate for the period of the deposit at the time of take back of the end-of-life product;, the import of electrical and electronic equipment shall be allowed only to producers having Extended Producer Responsibility authorisation;, maintaining records in Form-2 of the e-waste handled and make such records available for scrutiny by the Central Pollution Control Board or the concerned State Pollution Control Board;, filing annual returns in Form-3, to the Central Pollution Control Board on or before the 30th day of June following the financial year to which that return relates. In case of the Producer with multiple offices in a State, one annual return combining information from all the offices shall be filed;, the Producer shall apply to the Central Pollution Control Board for authorisation in Form 1, which shall thereafter grant the Extended Producer Responsibility - Authorisation in Form 1(aa)., Operation without Extended Producer Responsibility-Authorisation by any producer, as defined in this rule, shall be considered as causing damage to the environment."
5. Responsibilities of the producer.,"implementing the Extended Producers Responsibility with the following frameworks, namely:-, collection and channelisation of e-waste generated from the 'end-of-life' of their products or 'end-of-life' products with same electrical and electronic equipment code and historical waste available on the date from which these rules come into force as per Schedule I in line with the targets prescribed in Schedule III in Extended Producer Responsibility - Authorisation;, the mechanism used for channelisation of e-waste from 'end-of-life' products including those from their service centres to authorised dismantler or recycler shall be in accordance with the Extended Producer Responsibility - Authorisation. In cases of fluorescent and other mercury containing lamps, where recyclers are not available, channelisation may be from collection centre to Treatment, Storage and Disposal Facility;, for disposal in Treatment, Storage and Disposal Facility, a pre-treatment is necessary to immobilise the mercury and reduce the volume of waste to be disposed off;, Extended Producer Responsibility - Authorisation should comprise of general scheme for collection of waste Electrical and Electronic Equipment from the Electrical and Electronic Equipment placed on the market earlier, such as through dealer, collection centres, Producer Responsibility Organisation, through buy-back arrangement, exchange scheme, Deposit Refund System, etc. whether directly or through any authorised agency and channelising the items so collected to authorised recyclers;, providing contact details such as address, e-mail address, toll-free telephone numbers or helpline numbers to consumer(s) or bulk consumer(s) through their website and product user documentation so as to facilitate return of end-of-life electrical and electronic equipment;, creating awareness through media, publications, advertisements, posters, or by any other means of communication and product user documentation accompanying the equipment, with regard to -, information on address, e-mail address, toll-free telephone numbers or helpline numbers and web site;, information on hazardous constituents as specified in sub-rule 1 of rule 16 in electrical and electronic equipment;, information on hazards of improper handling, disposal, accidental breakage, damage or improper recycling of e-waste;, instructions for handling and disposal of the equipment after its use, along with the Do's and Don'ts;, affixing a visible, legible and indelible symbol given below on the products or product user documentation to prevent e-waste from being dropped in garbage bins containing waste destined for disposal;, means and mechanism available for their consumers to return e-waste for recycling including the details of Deposit Refund Scheme, if applicable;, the producer shall opt to implement Extended Producer Responsibility individually or collectively. In individual producer responsibility, producer may set up his own collection centre or implement take back system or both to meet Extended Producer Responsibility. In collective system, producers may tie-up as a member with a Producer Responsibility Organisation or with e-waste exchange or both. It shall be mandatory upon on the individual producer in every case to seek Extended Producer Responsibility - Authorisation from Central Pollution Control Board in accordance with the Form-1 and the procedure laid down in sub-rule (1) of rule 13;"
5. Responsibilities of the producer.,collection and channelisation of e-waste generated from the 'end-of-life' of their products or 'end-of-life' products with same electrical and electronic equipment code and historical waste available on the date from which these rules come into force as per Schedule I in line with the targets prescribed in Schedule III in Extended Producer Responsibility - Authorisation;
5. Responsibilities of the producer.,"the mechanism used for channelisation of e-waste from 'end-of-life' products including those from their service centres to authorised dismantler or recycler shall be in accordance with the Extended Producer Responsibility - Authorisation. In cases of fluorescent and other mercury containing lamps, where recyclers are not available, channelisation may be from collection centre to Treatment, Storage and Disposal Facility;"
5. Responsibilities of the producer.,"for disposal in Treatment, Storage and Disposal Facility, a pre-treatment is necessary to immobilise the mercury and reduce the volume of waste to be disposed off;"
5. Responsibilities of the producer.,"Extended Producer Responsibility - Authorisation should comprise of general scheme for collection of waste Electrical and Electronic Equipment from the Electrical and Electronic Equipment placed on the market earlier, such as through dealer, collection centres, Producer Responsibility Organisation, through buy-back arrangement, exchange scheme, Deposit Refund System, etc. whether directly or through any authorised agency and channelising the items so collected to authorised recyclers;"
5. Responsibilities of the producer.,"providing contact details such as address, e-mail address, toll-free telephone numbers or helpline numbers to consumer(s) or bulk consumer(s) through their website and product user documentation so as to facilitate return of end-of-life electrical and electronic equipment;"
