Section Title,Nested Content
2. Definitions.,"""award"" means an interim or a final determination of any industrial dispute or of any question relating thereto by any Industrial Tribunal referred to in section 44 or National Industrial Tribunal referred to in section 46 and includes an arbitration award made under section 42;"
2. Definitions.,"""banking company"" means a banking company as defined in section 5 of the Banking Regulation Act, 1949 (10 of 1949) and includes the Export-Import Bank of India, the Industrial Reconstruction Bank of India, the Small Industries Development Bank of India established under section 3 of the Small Industries Development Bank of India Act, 1989 (39 of 1989), the Reserve Bank of India, the State Bank of India, a corresponding new bank constituted under section 3 of the Banking Companies (Acquisition and Transfer of Undertakings) Act, 1970 (5 of 1970), a corresponding new bank constituted under section 3 of the Banking Companies (Acquisition and Transfer of Undertakings) Act, 1980 (40 of 1980);"
2. Definitions.,"""certifying officer"" means any officer appointed by the appropriate Government, by notification, to perform the functions of a certifying officer under the provisions of Chapter IV;"
2. Definitions.,"""closure"" means the permanent closing down of a place of employment or part thereof;"
2. Definitions.,"""conciliation officer"" means a conciliation officer appointed under section 43;"
2. Definitions.,"""conciliation proceeding"" means any proceeding held by a conciliation officer under this Code;"
2. Definitions.,"""controlled industry"" means any industry the control of which by the Union has been declared by any Central Act to be expedient in the public interest;"
2. Definitions.,"""employee"" means any person (other than an apprentice engaged under the Apprentices Act, 1961) (52 of 1961) employed by an industrial establishment to do any skilled, semi-skilled or unskilled, manual, operational, supervisory, managerial, administrative, technical or clerical work for hire or reward, whether the terms of employment be express or implied, and also includes a person declared to be an employee by the appropriate Government, but does not include any member of the Armed Forces of the Union;"
2. Definitions.,"""employer"" means a person who employs, whether directly or through any person, or on his behalf or on behalf of any person, one or more employee or worker in his establishment and where the establishment is carried on by any department of the Central Government or the State Government, the authority specified by the head of the department in this behalf or where no authority is so specified, the head of the department, and in relation to an establishment carried on by a local authority, the chief executive of that authority, and includes,-, in relation to an establishment which is a factory, the occupier of the factory as defined in clause (n) of section 2 of the Factories Act, 1948 (63 of 1948) and, where a person has been named as a manager of the factory under clause (f) of sub-section (1) of section 7 of the said Act, the person so named;, in relation to any other establishment, the person who, or the authority which has ultimate control over the affairs of the establishment and where the said affairs are entrusted to a manager or managing director, such manager or managing director;, contractor; and, legal representative of a deceased employer;"
2. Definitions.,"""executive"", in relation to a Trade Union, means the body by whatever name called, to which the management of the affairs of a Trade Union is entrusted;"
2. Definitions.,"""fixed term employment"" means the engagement of a worker on the basis of a written contract of employment for a fixed period:"
2. Definitions.,"""industry"" means any systematic activity carried on by co-operation between an employer and worker (whether such worker is employed by such employer directly or by or through any agency, including a contractor) for the production, supply or distribution of goods or services with a view to satisfy human wants or wishes (not being wants or wishes which are merely spiritual or religious in nature), whether or not,-, any capital has been invested for the purpose of carrying on such activity; or, institutions owned or managed by organisations wholly or substantially engaged in any charitable, social or philanthropic service; or, any activity of the appropriate Government relatable to the sovereign functions of the appropriate Government including all the activities carried on by the departments of the Central Government dealing with defence research, atomic energy and space; or, any domestic service; or, any other activity as may be notified by the Central Government;, such activity is carried on with a motive to make any gain or profit, but does not include-"
2. Definitions.,"""industrial dispute"" means any dispute or difference between employers and employers or between employers and workers or between workers and workers which is connected with the employment or non-employment or the terms of employment or with the conditions of labour, of any person and includes any dispute or difference between an individual worker and an employer connected with, or arising out of discharge, dismissal, retrenchment or termination of such worker;"
2. Definitions.,"""industrial establishment or undertaking"" means an establishment or undertaking in which any industry is carried on:"
2. Definitions.,"""insurance company"" means a company as defined in section 2 of the Insurance Act, 1938 (4 of 1938);"
2. Definitions.,"""lay-off"" (with its grammatical variations and cognate expressions) means the failure, refusal or inability of an employer on account of shortage of coal, power or raw materials or the accumulation of stocks or the break-down of machinery or natural calamity or for any other connected reason, to give employment to a worker whose name is borne on the muster rolls of his industrial establishment and who has not been retrenched."
2. Definitions.,"""lock-out"" means the temporary closing of a place of employment, or the suspension of work, or the refusal by an employer to continue to employ any number of persons employed by him;"
2. Definitions.,"""major port"" means a major port as defined in clause (8) of section 3 of the Indian Ports Act, 1908 (15 of 1908);"
2. Definitions.,"""metro railway"" means the metro railway as defined in sub-clause (i) of clause (1) of section 2 of the Metro Railways (Operation and Maintenance) Act, 2002 (60 of 2002);"
2. Definitions.,"""mine"" means a mine as defined in clause (j) of sub-section (1) of section 2 of the Mines Act, 1952 (35 of 1952);"
2. Definitions.,"""National Industrial Tribunal"" means a National Industrial Tribunal constituted under section 46;"
2. Definitions.,"""negotiating union or negotiating council"" means the negotiating union or negotiating council referred to in section 14;"
2. Definitions.,"""notification"" means a notification published in the Official Gazette of India or the Official Gazette of a State, as the case may be, and the expression ""notify"" with its grammatical variation and cognate expressions shall be construed accordingly;"
2. Definitions.,"""office-bearer"", in relation to a Trade Union, includes any member of the executive thereof, but does not include an auditor;"
2. Definitions.,"""prescribed"" means prescribed by rules made under this Code;"
2. Definitions.,"""railway"" means the railway as defined in clause (31) of section 2 of the Railways Act, 1989 (24 of 1989);"
2. Definitions.,"""registered office"" means that office of a Trade Union which is registered under this Code as the head office thereof;"
2. Definitions.,"""registered Trade Union"" means a Trade Union registered under this Code;"
2. Definitions.,"""Registrar"" means a Registrar of Trade Unions appointed by the State Government under section 5;"
2. Definitions.,"""retrenchment"" means the termination by the employer of the service of a worker for any reason whatsoever, otherwise than as a punishment inflicted by way of disciplinary action, but does not include -"
2. Definitions.,termination of the service of the worker as a result of the non-renewal of the contract of employment between the employer and the worker concerned on its expiry or of such contract being terminated under a stipulation in that behalf contained therein; or
2. Definitions.,termination of service of the worker as a result of completion of tenure of fixed term employment; or
2. Definitions.,"""settlement"" means a settlement arrived at in the course of conciliation proceeding and includes a written agreement between the employer and worker arrived at otherwise than in the course of conciliation proceeding where such agreement has been signed by the parties thereto in such manner as may be prescribed and a copy thereof has been sent to an officer authorised in this behalf by the appropriate Government and to the conciliation officer;"
2. Definitions.,"""standing orders"" means orders relating to matters set-out in the First Schedule;"
2. Definitions.,"""strike"" means a cessation of work by a body of persons employed in any industry acting in combination, or a concerted refusal, or a refusal, under a common understanding, of any number of persons who are or have been so employed to continue to work or to accept employment and includes the concerted casual leave on a given day by fifty per cent. or more workers employed in an industry;"
2. Definitions.,"""Trade Union"" means any combination, whether temporary or permanent, formed primarily for the purpose of regulating the relations between workers and employers or between workers and workers, or between employers and employers, or for imposing restrictive conditions on the conduct of any trade or business, and includes any federation of two or more Trade Unions:"
2. Definitions.,"""worker"" means any person (except an apprentice as defined under clause (aa) of section 2 of the Apprentices Act, 1961) (52 of 1961) employed in any industry to do any manual, unskilled, skilled, technical, operational, clerical or supervisory work for hire or reward, whether the terms of employment be express or implied, and includes working journalists as defined in clause (f) of section 2 of the Working Journalists and other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions Act, 1955 (45 of 1955) and sales promotion employees as defined in clause (d) of section 2 of the Sales Promotion Employees (Conditions of Service) Act, 1976 (11 of 1976), and for the purposes of any proceeding under this Code in relation to an industrial dispute, includes any such person who has been dismissed, discharged or retrenched or otherwise terminated in connection with, or as a consequence of, that dispute, or whose dismissal, discharge or retrenchment has led to that dispute, but does not include any such person-"
3. Works Committee.,"In the case of any industrial establishment in which one hundred or more workers are employed or have been employed on any day in the preceding twelve months, the appropriate Government may by general or special order require the employer to constitute a Works Committee, in such manner as may be prescribed, consisting of representatives of employer and workers engaged in the establishment:, Provided that the number of representatives of workers in such Committee shall not be less than the number of representatives of the employer., The representatives of the workers shall be chosen, in such manner as may be prescribed, from among the workers engaged in the establishment and in consultation with their Trade Union, if any, registered in accordance with the provisions of section 9., It shall be the duty of the Works Committee to promote measures for securing and preserving amity and good relations between the employer and workers and, to that end, to comment upon matters of their common interest or concern and endeavour to compose any material difference of opinion in respect of such matters."
3. Works Committee.,"In the case of any industrial establishment in which one hundred or more workers are employed or have been employed on any day in the preceding twelve months, the appropriate Government may by general or special order require the employer to constitute a Works Committee, in such manner as may be prescribed, consisting of representatives of employer and workers engaged in the establishment:, Provided that the number of representatives of workers in such Committee shall not be less than the number of representatives of the employer."
3. Works Committee.,"The representatives of the workers shall be chosen, in such manner as may be prescribed, from among the workers engaged in the establishment and in consultation with their Trade Union, if any, registered in accordance with the provisions of section 9."
3. Works Committee.,"It shall be the duty of the Works Committee to promote measures for securing and preserving amity and good relations between the employer and workers and, to that end, to comment upon matters of their common interest or concern and endeavour to compose any material difference of opinion in respect of such matters."
4. Grievance Redressal Committee.,"Every industrial establishment employing twenty or more workers shall have one or more Grievance Redressal Committees for resolution of disputes arising out of individual grievances., The Grievance Redressal Committee shall consist of equal number of members representing the employer and the workers to be chosen in such manner as may be prescribed., The chairperson of the Grievance Redressal Committee shall be selected from among persons representing the employer and the workers alternatively on rotational basis every year., The total number of members of the Grievance Redressal Committee shall not exceed ten:, Provided that there shall be adequate representation of women workers in the Grievance Redressal Committee and such representation shall not be less than the proportion of women workers to the total workers employed in the industrial establishment., An application in respect of any dispute referred to in sub-section (1) may be filed before the Grievance Redressal Committee by any aggrieved worker in such manner as may be prescribed within one year from the date on which the cause of action of such dispute arises., The Grievance Redressal Committee may complete its proceedings within thirty days of receipt of the application under sub-section (5)., The decision of the Grievance Redressal Committee on any application filed under sub-section (5) shall be made on the basis of majority view of the Committee, provided more than half of the members representing the workers have agreed to such decision, otherwise it shall be deemed that no decision could be arrived at by the Committee., The worker who is aggrieved by the decision of the Grievance Redressal Committee or whose grievance is not resolved in the said Committee within the period specified in sub-section (6), may, within a period of sixty days from the date of the decision of the Grievance Redressal Committee or from the date on which the period specified in sub-section (6) expires, as the case may be, file an application for the conciliation of such grievance to the conciliation officer through the Trade Union, of which he is a member, in such manner as may be prescribed., Where any employer discharges, dismisses, retrenches, or otherwise terminates the services of an individual worker, any dispute or difference between that worker and his employer connected with, or arising out of, such discharge, dismissal, retrenchment or termination shall be deemed to be an industrial dispute notwithstanding that no other worker nor any Trade Union is a party to the dispute., Notwithstanding anything contained in this section or section 53, any worker as is specified in sub-section (5) may, make an application directly to the Tribunal for adjudication of the dispute referred to therein after the expiry of forty-five days from the date he has made the application to the conciliation officer of the appropriate Government for conciliation of the dispute, and on receipt of such application the Tribunal shall have powers and jurisdiction to adjudicate upon the dispute, as the Tribunal has in respect of the application filed under sub-section (6) of section 53., The application referred to in sub-section (10) shall be made to the Tribunal before the expiry of two years from the date of discharge, dismissal, retrenchment or otherwise termination of service as specified in sub-section (9)."
4. Grievance Redressal Committee.,Every industrial establishment employing twenty or more workers shall have one or more Grievance Redressal Committees for resolution of disputes arising out of individual grievances.
4. Grievance Redressal Committee.,The Grievance Redressal Committee shall consist of equal number of members representing the employer and the workers to be chosen in such manner as may be prescribed.
4. Grievance Redressal Committee.,The chairperson of the Grievance Redressal Committee shall be selected from among persons representing the employer and the workers alternatively on rotational basis every year.
4. Grievance Redressal Committee.,"The total number of members of the Grievance Redressal Committee shall not exceed ten:, Provided that there shall be adequate representation of women workers in the Grievance Redressal Committee and such representation shall not be less than the proportion of women workers to the total workers employed in the industrial establishment."
4. Grievance Redressal Committee.,An application in respect of any dispute referred to in sub-section (1) may be filed before the Grievance Redressal Committee by any aggrieved worker in such manner as may be prescribed within one year from the date on which the cause of action of such dispute arises.
4. Grievance Redressal Committee.,The Grievance Redressal Committee may complete its proceedings within thirty days of receipt of the application under sub-section (5).
4. Grievance Redressal Committee.,"The decision of the Grievance Redressal Committee on any application filed under sub-section (5) shall be made on the basis of majority view of the Committee, provided more than half of the members representing the workers have agreed to such decision, otherwise it shall be deemed that no decision could be arrived at by the Committee."
4. Grievance Redressal Committee.,"The worker who is aggrieved by the decision of the Grievance Redressal Committee or whose grievance is not resolved in the said Committee within the period specified in sub-section (6), may, within a period of sixty days from the date of the decision of the Grievance Redressal Committee or from the date on which the period specified in sub-section (6) expires, as the case may be, file an application for the conciliation of such grievance to the conciliation officer through the Trade Union, of which he is a member, in such manner as may be prescribed."
4. Grievance Redressal Committee.,"Where any employer discharges, dismisses, retrenches, or otherwise terminates the services of an individual worker, any dispute or difference between that worker and his employer connected with, or arising out of, such discharge, dismissal, retrenchment or termination shall be deemed to be an industrial dispute notwithstanding that no other worker nor any Trade Union is a party to the dispute."
4. Grievance Redressal Committee.,"Notwithstanding anything contained in this section or section 53, any worker as is specified in sub-section (5) may, make an application directly to the Tribunal for adjudication of the dispute referred to therein after the expiry of forty-five days from the date he has made the application to the conciliation officer of the appropriate Government for conciliation of the dispute, and on receipt of such application the Tribunal shall have powers and jurisdiction to adjudicate upon the dispute, as the Tribunal has in respect of the application filed under sub-section (6) of section 53."
4. Grievance Redressal Committee.,"The application referred to in sub-section (10) shall be made to the Tribunal before the expiry of two years from the date of discharge, dismissal, retrenchment or otherwise termination of service as specified in sub-section (9)."
5. Registrar of Trade Unions.,"The State Government may, by notification, appoint a person to be the Registrar of Trade Unions, and other persons as Additional Registrar of Trade Unions, Joint Registrar of Trade Unions and Deputy Registrar of Trade Unions, who shall exercise such powers and perform such duties of the Registrar as the State Government may, by notification, specify from time to time., Subject to the provisions of any order made by the State Government, where an Additional Registrar of Trade Unions or a Joint Registrar of Trade Unions or a Deputy Registrar of Trade Unions exercises the powers and performs the duties of the Registrar in an area within which the registered office of a Trade Union is situated, such Additional Registrar of Trade Unions or a Joint Registrar of Trade Unions or a Deputy Registrar of Trade Unions, as the case may be, shall be deemed to be the Registrar in relation to that Trade Union for the purposes of this Code."
5. Registrar of Trade Unions.,"The State Government may, by notification, appoint a person to be the Registrar of Trade Unions, and other persons as Additional Registrar of Trade Unions, Joint Registrar of Trade Unions and Deputy Registrar of Trade Unions, who shall exercise such powers and perform such duties of the Registrar as the State Government may, by notification, specify from time to time."
5. Registrar of Trade Unions.,"Subject to the provisions of any order made by the State Government, where an Additional Registrar of Trade Unions or a Joint Registrar of Trade Unions or a Deputy Registrar of Trade Unions exercises the powers and performs the duties of the Registrar in an area within which the registered office of a Trade Union is situated, such Additional Registrar of Trade Unions or a Joint Registrar of Trade Unions or a Deputy Registrar of Trade Unions, as the case may be, shall be deemed to be the Registrar in relation to that Trade Union for the purposes of this Code."
